2024-07-30 21:23:25 status unpacked sensible-utils:all 0.0.17+nmu1
2024-07-30 21:23:25 status half-configured sensible-utils:all 0.0.17+nmu1
2024-07-30 21:23:25 status installed sensible-utils:all 0.0.17+nmu1
2024-07-30 21:23:25 configure dbus-session-bus-common:all 1.14.10-1~deb12u1 <none>
2024-07-30 21:23:25 status unpacked dbus-session-bus-common:all 1.14.10-1~deb12u1
2024-07-30 21:23:25 status half-configured dbus-session-bus-common:all 1.14.10-1~deb12u1
2024-07-30 21:23:25 status installed dbus-session-bus-common:all 1.14.10-1~deb12u1
2024-07-30 21:23:25 configure procps:amd64 2:4.0.2-3 <none>
2024-07-30 21:23:25 status unpacked procps:amd64 2:4.0.2-3
2024-07-30 21:23:25 status half-configured procps:amd64 2:4.0.2-3
2024-07-30 21:23:25 status installed procps:amd64 2:4.0.2-3
2024-07-30 21:23:25 configure libkrb5-3:amd64 1.20.1-2+deb12u2 <none>
2024-07-30 21:23:25 status unpacked libkrb5-3:amd64 1.20.1-2+deb12u2
2024-07-30 21:23:25 status half-configured libkrb5-3:amd64 1.20.1-2+deb12u2
2024-07-30 21:23:25 status installed libkrb5-3:amd64 1.20.1-2+deb12u2
2024-07-30 21:23:25 configure dbus-system-bus-common:all 1.14.10-1~deb12u1 <none>
2024-07-30 21:23:25 status unpacked dbus-system-bus-common:all 1.14.10-1~deb12u1
2024-07-30 21:23:25 status half-configured dbus-system-bus-common:all 1.14.10-1~deb12u1
2024-07-30 21:23:25 status installed dbus-system-bus-common:all 1.14.10-1~deb12u1
2024-07-30 21:23:25 configure libfido2-1:amd64 1.12.0-2+b1 <none>
2024-07-30 21:23:25 status unpacked libfido2-1:amd64 1.12.0-2+b1
2024-07-30 21:23:25 status half-configured libfido2-1:amd64 1.12.0-2+b1
2024-07-30 21:23:25 status installed libfido2-1:amd64 1.12.0-2+b1
2024-07-30 21:23:25 configure libbsd0:amd64 0.11.7-2 <none>
2024-07-30 21:23:25 status unpacked libbsd0:amd64 0.11.7-2
2024-07-30 21:23:25 status half-configured libbsd0:amd64 0.11.7-2
2024-07-30 21:23:25 status installed libbsd0:amd64 0.11.7-2
2024-07-30 21:23:25 configure dbus-bin:amd64 1.14.10-1~deb12u1 <none>
2024-07-30 21:23:25 status unpacked dbus-bin:amd64 1.14.10-1~deb12u1
